Enregistrement de données le (2022, 6, 8, 'WED', 13, 10, 12)

t;Vitesse du vent;Direction du vent;Température;Humidité;Altitude;Pression
s;m/s;Dir;°C;%;m;hPa

13:10:14;0;W;21.75292;60.29954;40.32374;1008.416
13:10:16;0;W;21.74525;60.03802;40.31581;1008.417
Enregistrement de données le (2022, 6, 8, 'WED', 13, 10, 12)

t;Vitesse du vent;Direction du vent;Température;Humidité;Altitude;Pression
s;m/s;Dir;°C;%;m;hPa

13:10:14;0;W;21.782;58.9743;39.98817;1008.456
13:10:16;0;W;21.77177;58.66554;39.97496;1008.458
13:10:18;0;W;21.76123;58.94715;40.02252;1008.452
13:10:20;1.461972;N;21.75611;59.76178;40.0648;1008.447
13:10:22;16.36594;???;21.75452;59.89227;40.10972;1008.442
13:10:23;9.694855;???;21.75036;59.66224;40.14671;1008.437
13:10:24;0;NE;21.74749;59.86579;40.19956;1008.431
13:10:26;0;NE;22.10734;80.24977;40.24447;1008.425
13:10:28;0;NE;22.25435;80.29006;40.19956;1008.431
13:10:30;0;NE;22.31347;81.27286;40.14407;1008.438
13:10:32;0;NE;22.33616;82.14281;40.12558;1008.439
13:10:34;0;NE;22.34127;82.69397;40.09915;1008.443
13:10:36;0;NE;22.3384;83.1663;40.06744;1008.447
13:10:38;0;NE;22.32338;83.44;40.04895;1008.451
13:10:40;0;NE;22.2895;83.50395;40.00931;1008.453
13:10:42;0;NE;22.24859;83.3543;40.02517;1008.452
13:10:44;0;NE;22.22079;83.79787;40.11236;1008.441
13:10:46;0;NE;22.18244;83.49276;40.17842;1008.433
13:10:48;0;NE;22.15272;83.95599;40.25769;1008.424
13:10:50;0;NE;22.12332;84.17164;40.29203;1008.42
13:10:52;0;NE;22.09296;84.03869;40.33167;1008.415
13:10:54;0;NE;22.06931;83.80787;40.40301;1008.407
13:10:57;0;NE;22.03863;83.12481;40.40565;1008.406
13:10:59;0;NE;22.00635;81.05012;40.42679;1008.403
